start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,remarks
1988.7486338797812,1989.7479452054797,10.91,0.55,11060,11060,update to Box et al 2018
1989.7479452054797,1990.7479452054797,-7.44,4.13,11060,11060,update to Box et al 2018
1990.7479452054797,1991.7479452054797,-17.35,4.59,11060,11060,update to Box et al 2018
1991.7479452054797,1992.7486338797812,11.41,5.96,11060,11060,update to Box et al 2018
1992.7486338797812,1993.7479452054797,9.22,5.72,11060,11060,update to Box et al 2018
1993.7479452054797,1994.7479452054797,0.67,6.4,11060,11060,update to Box et al 2018
1994.7479452054797,1995.7479452054797,-9.75,3.25,11060,11060,update to Box et al 2018
1995.7479452054797,1996.7486338797812,-13.15,3.81,11060,11060,update to Box et al 2018
1996.7486338797812,1997.7479452054797,-13.22,5.64,11060,11060,update to Box et al 2018
1997.7479452054797,1998.7479452054797,-15.59,2.73,11060,11060,update to Box et al 2018
1998.7479452054797,1999.7479452054797,-9.46,4.03,11060,11060,update to Box et al 2018
1999.7479452054797,2000.7486338797812,-16.7,7.14,11060,11060,update to Box et al 2018
2000.7486338797812,2001.7479452054797,-11.46,8.76,11060,11060,update to Box et al 2018
2001.7479452054797,2002.7479452054797,-10.88,4.4,11060,11060,update to Box et al 2018
2002.7479452054797,2003.7479452054797,-15.44,2.96,11060,11060,update to Box et al 2018
2003.7479452054797,2004.7486338797812,-17.7,3.62,11060,11060,update to Box et al 2018
2004.7486338797812,2005.7479452054797,-13.92,9.77,11060,11060,update to Box et al 2018
2005.7479452054797,2006.7479452054797,-11.6,4.17,11060,11060,update to Box et al 2018
2006.7479452054797,2007.7479452054797,-9.79,2.9,11060,11060,update to Box et al 2018
2007.7479452054797,2008.7486338797812,-12.82,2.79,11060,11060,update to Box et al 2018
2008.7486338797812,2009.7479452054797,-4.67,2.11,11060,11060,update to Box et al 2018
2009.7479452054797,2010.7479452054797,-36.82,6.23,11060,11060,update to Box et al 2018
2010.7479452054797,2011.7479452054797,-5.1,6.86,11060,11060,update to Box et al 2018
2011.7479452054797,2012.7486338797812,-8.19,4.36,11060,11060,update to Box et al 2018
2012.7486338797812,2013.7479452054797,-5.91,2.12,11060,11060,update to Box et al 2018
2013.7479452054797,2014.7479452054797,-12.5,4.79,11060,11060,update to Box et al 2018
2014.7479452054797,2015.7479452054797,10.29,1.48,11060,11060,update to Box et al 2018
2015.7479452054797,2016.7486338797812,-13.33,3.83,11060,11060,update to Box et al 2018
2016.7486338797812,2017.7479452054797,-4.79,4.07,11060,11060,update to Box et al 2018
2017.7479452054797,2018.7479452054797,1.66,3.49,11060,11060,update to Box et al 2018
2018.7479452054797,2019.7479452054797,-17.47,5.54,11060,11060,update to Box et al 2018
2019.7479452054797,2020.7486338797812,-6.07,2.89,11060,11060,update to Box et al 2018
2020.7486338797812,2021.7479452054797,-16.7,4.59,11060,11060,update to Box et al 2018
2021.7479452054797,2022.7479452054797,-0.75,5.03,11060,11060,update to Box et al 2018
