start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
1990.74794520548,1990.8328767123287,0.0645,0.0788,49303.4,51034.0
1990.8328767123287,1990.9150684931508,0.0312,0.0373,49303.4,51034.0
1990.9150684931508,1991.0,0.0407,0.0574,49303.4,51034.0
1991.0,1991.0849315068488,0.0484,0.0658,49303.4,51034.0
1991.0849315068488,1991.1616438356164,0.042,0.0489,49303.4,51034.0
1991.1616438356164,1991.2465753424656,0.0763,0.0807,49303.4,51034.0
1991.2465753424656,1991.328767123288,0.0828,0.0733,49303.4,51034.0
1991.328767123288,1991.4136986301369,0.0888,0.0757,49303.4,51034.0
1991.4136986301369,1991.495890410959,-0.0439,0.1398,49303.4,51034.0
1991.495890410959,1991.580821917808,-0.3426,0.217,49303.4,51034.0
1991.580821917808,1991.6657534246576,-0.2643,0.245,49303.4,51034.0
1991.6657534246576,1991.74794520548,-0.0966,0.1751,49303.4,51034.0
1991.74794520548,1991.8328767123287,0.0524,0.0655,49303.4,51049.6
1991.8328767123287,1991.9150684931508,0.0328,0.0406,49303.4,51049.6
1991.9150684931508,1992.0,0.076,0.1266,49303.4,51049.6
1992.0,1992.084699453552,0.048,0.0697,49303.4,51049.6
1992.084699453552,1992.1639344262296,0.0514,0.0607,49303.4,51049.6
1992.1639344262296,1992.2486338797808,0.0774,0.0791,49303.4,51049.6
1992.2486338797808,1992.330601092896,0.0625,0.068,49303.4,51049.6
1992.330601092896,1992.415300546448,0.1206,0.0836,49303.4,51049.6
1992.415300546448,1992.4972677595629,0.0761,0.1333,49303.4,51049.6
1992.4972677595629,1992.5819672131147,-0.1097,0.2993,49303.4,51049.6
1992.5819672131147,1992.6666666666667,-0.2134,0.2001,49303.4,51049.6
1992.6666666666667,1992.7486338797808,0.0183,0.134,49303.4,51049.6
1992.7486338797808,1992.8333333333333,0.0488,0.0604,49303.4,51361.8
1992.8333333333333,1992.915300546448,0.0295,0.0294,49303.4,51361.8
1992.915300546448,1993.0,0.0484,0.0685,49303.4,51361.8
1993.0,1993.0849315068488,0.0298,0.0355,49303.4,51361.8
1993.0849315068488,1993.1616438356164,0.0602,0.0899,49303.4,51361.8
1993.1616438356164,1993.2465753424656,0.0866,0.0926,49303.4,51361.8
1993.2465753424656,1993.328767123288,0.0653,0.0708,49303.4,51361.8
1993.328767123288,1993.4136986301369,0.141,0.1092,49303.4,51361.8
1993.4136986301369,1993.495890410959,0.1143,0.1484,49303.4,51361.8
1993.495890410959,1993.580821917808,-0.0728,0.2544,49303.4,51361.8
1993.580821917808,1993.6657534246576,-0.0982,0.2254,49303.4,51361.8
1993.6657534246576,1993.74794520548,0.0642,0.1745,49303.4,51361.8
1993.74794520548,1993.8328767123287,0.0602,0.0655,49303.4,51461.1
1993.8328767123287,1993.9150684931508,0.0722,0.1105,49303.4,51461.1
1993.9150684931508,1994.0,0.0394,0.0603,49303.4,51461.1
1994.0,1994.0849315068488,0.0418,0.0522,49303.4,51461.1
1994.0849315068488,1994.1616438356164,0.0474,0.0641,49303.4,51461.1
1994.1616438356164,1994.2465753424656,0.0617,0.0648,49303.4,51461.1
1994.2465753424656,1994.328767123288,0.1016,0.0879,49303.4,51461.1
1994.328767123288,1994.4136986301369,0.0858,0.061,49303.4,51461.1
1994.4136986301369,1994.495890410959,0.0171,0.2064,49303.4,51461.1
1994.495890410959,1994.580821917808,-0.3591,0.2441,49303.4,51461.1
1994.580821917808,1994.6657534246576,-0.4292,0.2499,49303.4,51461.1
1994.6657534246576,1994.74794520548,0.0039,0.1701,49303.4,51461.1
1994.74794520548,1994.8328767123287,0.0497,0.0575,49303.4,51246.8
1994.8328767123287,1994.9150684931508,0.048,0.0752,49303.4,51246.8
1994.9150684931508,1995.0,0.0502,0.0658,49303.4,51246.8
1995.0,1995.0849315068488,0.0272,0.0337,49303.4,51246.8
1995.0849315068488,1995.1616438356164,0.0418,0.0486,49303.4,51246.8
1995.1616438356164,1995.2465753424656,0.0692,0.0649,49303.4,51246.8
1995.2465753424656,1995.328767123288,0.0763,0.0673,49303.4,51246.8
1995.328767123288,1995.4136986301369,0.0809,0.0833,49303.4,51246.8
1995.4136986301369,1995.495890410959,-0.0809,0.1589,49303.4,51246.8
1995.495890410959,1995.580821917808,-0.2951,0.2252,49303.4,51246.8
1995.580821917808,1995.6657534246576,-0.3479,0.2881,49303.4,51246.8
1995.6657534246576,1995.74794520548,-0.0479,0.1822,49303.4,51246.8
1995.74794520548,1995.8328767123287,0.0583,0.0583,49303.4,51117.8
1995.8328767123287,1995.9150684931508,0.0248,0.0301,49303.4,51117.8
1995.9150684931508,1996.0,0.0288,0.039,49303.4,51117.8
1996.0,1996.084699453552,0.0286,0.0336,49303.4,51117.8
1996.084699453552,1996.1639344262296,0.0524,0.0702,49303.4,51117.8
1996.1639344262296,1996.2486338797808,0.0978,0.1092,49303.4,51117.8
1996.2486338797808,1996.330601092896,0.0969,0.0916,49303.4,51117.8
1996.330601092896,1996.415300546448,0.1035,0.0877,49303.4,51117.8
1996.415300546448,1996.4972677595629,0.0453,0.1703,49303.4,51117.8
1996.4972677595629,1996.5819672131147,-0.2376,0.241,49303.4,51117.8
1996.5819672131147,1996.6666666666667,-0.3035,0.2167,49303.4,51117.8
1996.6666666666667,1996.7486338797808,-0.0363,0.202,49303.4,51117.8
1996.7486338797808,1996.8333333333333,0.0763,0.0722,49303.4,50691.0
1996.8333333333333,1996.915300546448,0.028,0.0292,49303.4,50691.0
1996.915300546448,1997.0,0.0197,0.0295,49303.4,50691.0
1997.0,1997.0849315068488,0.0335,0.0548,49303.4,50691.0
1997.0849315068488,1997.1616438356164,0.035,0.0435,49303.4,50691.0
1997.1616438356164,1997.2465753424656,0.0724,0.078,49303.4,50691.0
1997.2465753424656,1997.328767123288,0.0455,0.0417,49303.4,50691.0
1997.328767123288,1997.4136986301369,0.1096,0.0802,49303.4,50691.0
1997.4136986301369,1997.495890410959,-0.1731,0.1661,49303.4,50691.0
1997.495890410959,1997.580821917808,-0.5577,0.2492,49303.4,50691.0
1997.580821917808,1997.6657534246576,-0.5647,0.253,49303.4,50691.0
1997.6657534246576,1997.74794520548,-0.2548,0.1947,49303.4,50691.0
1997.74794520548,1997.8328767123287,0.0314,0.0499,49303.4,50223.9
1997.8328767123287,1997.9150684931508,0.0382,0.0358,49303.4,50223.9
1997.9150684931508,1998.0,0.0314,0.0472,49303.4,50223.9
1998.0,1998.0849315068488,0.0472,0.0801,49303.4,50223.9
1998.0849315068488,1998.1616438356164,0.0626,0.0902,49303.4,50223.9
1998.1616438356164,1998.2465753424656,0.0819,0.086,49303.4,50223.9
1998.2465753424656,1998.328767123288,0.0886,0.0992,49303.4,50223.9
1998.328767123288,1998.4136986301369,0.1134,0.098,49303.4,50223.9
1998.4136986301369,1998.495890410959,0.0058,0.1883,49303.4,50223.9
1998.495890410959,1998.580821917808,-0.284,0.1993,49303.4,50223.9
1998.580821917808,1998.6657534246576,-0.355,0.211,49303.4,50223.9
1998.6657534246576,1998.74794520548,0.0009,0.1649,49303.4,50223.9
