start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,remarks
1970.7479452054797,1971.7479452054797,-11.31,6.0,51591,51591,update to Box et al 2018
1971.7479452054797,1972.7486338797812,-2.99,6.0,51591,51591,update to Box et al 2018
1972.7486338797812,1973.7479452054797,4.03,6.0,51591,51591,update to Box et al 2018
1973.7479452054797,1974.7479452054797,-23.97,6.0,51591,51591,update to Box et al 2018
1974.7479452054797,1975.7479452054797,-2.82,6.0,51591,51591,update to Box et al 2018
1975.7479452054797,1976.7486338797812,-7.4,6.0,51591,51591,update to Box et al 2018
1976.7486338797812,1977.7479452054797,3.22,6.0,51591,51591,update to Box et al 2018
1977.7479452054797,1978.7479452054797,-11.34,6.0,51591,51591,update to Box et al 2018
1978.7479452054797,1979.7479452054797,-16.76,6.0,51591,51591,update to Box et al 2018
1979.7479452054797,1980.7486338797812,-9.86,6.0,51591,51591,update to Box et al 2018
1980.7486338797812,1981.7479452054797,-10.84,6.0,51591,51591,update to Box et al 2018
1981.7479452054797,1982.7479452054797,5.34,6.0,51591,51591,update to Box et al 2018
1982.7479452054797,1983.7479452054797,-1.51,6.0,51591,51591,update to Box et al 2018
1983.7479452054797,1984.7486338797812,-17.41,6.0,51591,51591,update to Box et al 2018
1984.7486338797812,1985.7479452054797,-11.18,6.0,51591,51591,update to Box et al 2018
1985.7479452054797,1986.7479452054797,-2.98,6.0,51591,51591,update to Box et al 2018
1986.7479452054797,1987.7479452054797,12.91,6.0,51591,51591,update to Box et al 2018
1987.7479452054797,1988.7486338797812,-9.96,6.0,51591,51591,update to Box et al 2018
1988.7486338797812,1989.7479452054797,-7.43,6.0,51591,51591,update to Box et al 2018
1989.7479452054797,1990.7479452054797,-17.25,6.0,51591,51591,update to Box et al 2018
1990.7479452054797,1991.7479452054797,7.26,6.0,51591,51591,update to Box et al 2018
1991.7479452054797,1992.7486338797812,-1.49,6.0,51591,51591,update to Box et al 2018
1992.7486338797812,1993.7479452054797,-25.14,6.0,51591,51591,update to Box et al 2018
1993.7479452054797,1994.7479452054797,3.91,6.0,51591,51591,update to Box et al 2018
1994.7479452054797,1995.7479452054797,-14.54,6.0,51591,51591,update to Box et al 2018
1995.7479452054797,1996.7486338797812,-10.52,6.0,51591,51591,update to Box et al 2018
1996.7486338797812,1997.7479452054797,-6.97,6.0,51591,51591,update to Box et al 2018
1997.7479452054797,1998.7479452054797,-20.81,6.0,51591,51591,update to Box et al 2018
1998.7479452054797,1999.7479452054797,-9.04,6.0,51591,51591,update to Box et al 2018
1999.7479452054797,2000.7486338797812,-0.44,6.0,51591,51591,update to Box et al 2018
2000.7486338797812,2001.7479452054797,-18.94,6.0,51591,51591,update to Box et al 2018
2001.7479452054797,2002.7479452054797,-11.85,6.0,51591,51591,update to Box et al 2018
2002.7479452054797,2003.7479452054797,-16.75,6.0,51591,51591,update to Box et al 2018
2003.7479452054797,2004.7486338797812,-20.93,6.0,51591,51591,update to Box et al 2018
2004.7486338797812,2005.7479452054797,-15.09,6.0,51591,51591,update to Box et al 2018
2005.7479452054797,2006.7479452054797,-8.9,6.0,51591,51591,update to Box et al 2018
2006.7479452054797,2007.7479452054797,-6.88,6.0,51591,51591,update to Box et al 2018
2007.7479452054797,2008.7486338797812,4.31,6.0,51591,51591,update to Box et al 2018
2008.7486338797812,2009.7479452054797,-9.62,6.0,51591,51591,update to Box et al 2018
2009.7479452054797,2010.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2010.7479452054797,2011.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2011.7479452054797,2012.7486338797812,-22.0,6.0,51591,51591,update to Box et al 2018
2012.7486338797812,2013.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2013.7479452054797,2014.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2014.7479452054797,2015.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2015.7479452054797,2016.7486338797812,-22.0,6.0,51591,51591,update to Box et al 2018
2016.7486338797812,2017.7479452054797,-22.0,6.0,51591,51591,update to Box et al 2018
2017.7479452054797,2018.7479452054797,-26.21,6.0,51591,51591,update to Box et al 2018
2018.7479452054797,2019.7479452054797,-19.6,6.0,51591,51591,update to Box et al 2018
2019.7479452054797,2020.7486338797812,-50.5,6.0,51591,51591,update to Box et al 2018
2020.7486338797812,2021.7479452054797,-9.65,6.0,51591,51591,update to Box et al 2018
2021.7479452054797,2022.7479452054797,-38.28,6.0,51591,51591,update to Box et al 2018
