start_dates,end_dates,changes,errors
1970.75,1971.75,-11.31,6.0
1971.75,1972.75,-2.99,6.0
1972.75,1973.75,4.03,6.0
1973.75,1974.75,-23.97,6.0
1974.75,1975.75,-2.82,6.0
1975.75,1976.75,-7.4,6.0
1976.75,1977.75,3.22,6.0
1977.75,1978.75,-11.34,6.0
1978.75,1979.75,-16.76,6.0
1979.75,1980.75,-9.86,6.0
1980.75,1981.75,-10.84,6.0
1981.75,1982.75,5.34,6.0
1982.75,1983.75,-1.51,6.0
1983.75,1984.75,-17.41,6.0
1984.75,1985.75,-11.18,6.0
1985.75,1986.75,-2.98,6.0
1986.75,1987.75,12.91,6.0
1987.75,1988.75,-9.96,6.0
1988.75,1989.75,-7.43,6.0
1989.75,1990.75,-17.25,6.0
1990.75,1991.75,7.26,6.0
1991.75,1992.75,-1.49,6.0
1992.75,1993.75,-25.14,6.0
1993.75,1994.75,3.91,6.0
1994.75,1995.75,-14.54,6.0
1995.75,1996.75,-10.52,6.0
1996.75,1997.75,-6.97,6.0
1997.75,1998.75,-20.81,6.0
1998.75,1999.75,-9.04,6.0
1999.75,2000.75,-0.44,6.0
2000.75,2001.75,-18.94,6.0
2001.75,2002.75,-11.85,6.0
2002.75,2003.75,-16.75,6.0
2003.75,2004.75,-20.93,6.0
2004.75,2005.75,-15.09,6.0
2005.75,2006.75,-8.9,6.0
2006.75,2007.75,-6.88,6.0
2007.75,2008.75,4.31,6.0
2008.75,2009.75,-9.62,6.0
2009.75,2010.75,-22.0,6.0
2010.75,2011.75,-22.0,6.0
2011.75,2012.75,-22.0,6.0
2012.75,2013.75,-22.0,6.0
2013.75,2014.75,-22.0,6.0
2014.75,2015.75,-22.0,6.0
2015.75,2016.75,-22.0,6.0
2016.75,2017.75,-22.0,6.0
2017.75,2018.75,-26.21,6.0
2018.75,2019.75,-19.6,6.0
2019.75,2020.75,-50.5,6.0
2020.75,2021.75,-9.65,6.0
2021.75,2022.75,-38.28,6.0
