start_dates,end_dates,changes,errors
1970.75,1971.75,-25.08,27.16
1971.75,1972.75,-68.03,26.46
1972.75,1973.75,-14.52,15.28
1973.75,1974.75,-89.19,63.6
1974.75,1975.75,-22.15,55.14
1975.75,1976.75,-33.56,29.89
1976.75,1977.75,25.17,52.92
1977.75,1978.75,-16.62,32.42
1978.75,1979.75,-61.02,31.98
1979.75,1980.75,40.23,47.19
1980.75,1981.75,38.67,112.56
1981.75,1982.75,-41.6,22.11
1982.75,1983.75,-57.38,44.25
1983.75,1984.75,-36.91,28.84
1984.75,1985.75,-2.64,41.51
1985.75,1986.75,-33.27,14.39
1986.75,1987.75,-20.34,57.32
1987.75,1988.75,14.16,28.89
1988.75,1989.75,-89.18,28.32
1989.75,1990.75,-106.87,48.18
1990.75,1991.75,-40.8,23.32
1991.75,1992.75,-50.81,20.48
1992.75,1993.75,-88.67,32.89
1993.75,1994.75,-50.36,7.51
1994.75,1995.75,-82.52,15.86
1995.75,1996.75,-100.02,28.22
1996.75,1997.75,-146.24,14.11
1997.75,1998.75,-33.08,39.56
1998.75,1999.75,-75.37,44.85
1999.75,2000.75,-8.01,15.19
2000.75,2001.75,-36.2,42.42
2001.75,2002.75,-55.54,8.61
2002.75,2003.75,-58.51,69.3
2003.75,2004.75,-162.52,31.91
2004.75,2005.75,-101.63,27.47
2005.75,2006.75,-36.55,31.66
2006.75,2007.75,-36.76,21.11
2007.75,2008.75,60.01,4.12
2008.75,2009.75,-87.16,25.01
2009.75,2010.75,-74.07,57.58
2010.75,2011.75,-99.76,32.43
2011.75,2012.75,23.21,56.33
2012.75,2013.75,-122.09,7.68
2013.75,2014.75,-95.72,43.58
2014.75,2015.75,-113.12,29.3
2015.75,2016.75,-96.88,47.49
2016.75,2017.75,-120.75,27.11
2017.75,2018.75,-129.34,57.03
2018.75,2019.75,-165.37,59.77
2019.75,2020.75,-79.89,38.44
2020.75,2021.75,-60.98,26.48
2021.75,2022.75,-102.2,8.02
