start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed,hydrological_correction_value,remarks
2002.293150684932,2002.3534246575343,14.43,69.6,2346,2346,18.46,hyd. corr. detrended
2002.3534246575343,2002.6219178082192,-38.71,58.1,2346,2346,-23.09,hyd. corr. detrended
2002.6219178082192,2002.704109589041,82.85,57.91,2346,2346,-23.07,hyd. corr. detrended
2002.704109589041,2002.7890410958903,-99.38,57.53,2346,2346,7.91,hyd. corr. detrended
2002.7890410958903,2002.87397260274,58.16,39.7,2346,2346,12.06,hyd. corr. detrended
2002.87397260274,2002.9561643835616,6.03,48.02,2346,2346,-10.91,hyd. corr. detrended
2002.9561643835616,2003.041095890411,1.41,82.47,2346,2346,-89.46,hyd. corr. detrended
2003.041095890411,2003.123287671233,59.98,81.03,2346,2346,29.83,hyd. corr. detrended
2003.123287671233,2003.2027397260276,-30.39,51.14,2346,2346,3.63,hyd. corr. detrended
2003.2027397260276,2003.2876712328768,-31.85,50.41,2346,2346,34.88,hyd. corr. detrended
2003.2876712328768,2003.3561643835617,-20.56,51.37,2346,2346,9.95,hyd. corr. detrended
2003.3561643835617,2003.5369863013696,-27.0,47.44,2346,2346,44.65,hyd. corr. detrended
2003.5369863013696,2003.6219178082192,-65.77,42.66,2346,2346,-25.23,hyd. corr. detrended
2003.6219178082192,2003.7068493150684,92.26,45.63,2346,2346,-25.85,hyd. corr. detrended
2003.7068493150684,2003.7890410958903,-54.57,51.44,2346,2346,10.07,hyd. corr. detrended
2003.7890410958903,2003.87397260274,-18.96,50.75,2346,2346,8.72,hyd. corr. detrended
2003.87397260274,2003.9561643835616,40.63,49.47,2346,2346,-10.25,hyd. corr. detrended
2003.9561643835616,2004.016393442623,21.54,61.88,2346,2346,-16.62,hyd. corr. detrended
2004.016393442623,2004.1284153005463,48.81,60.01,2346,2346,-40.75,hyd. corr. detrended
2004.1284153005463,2004.204918032787,-50.36,50.97,2346,2346,7.46,hyd. corr. detrended
2004.204918032787,2004.2896174863388,59.96,54.32,2346,2346,30.83,hyd. corr. detrended
2004.2896174863388,2004.3715846994533,-54.17,59.77,2346,2346,46.5,hyd. corr. detrended
2004.3715846994533,2004.4562841530053,10.32,63.46,2346,2346,-2.61,hyd. corr. detrended
2004.4562841530053,2004.53825136612,-55.16,56.43,2346,2346,-12.62,hyd. corr. detrended
2004.53825136612,2004.622950819672,57.62,52.66,2346,2346,-30.72,hyd. corr. detrended
2004.622950819672,2004.707650273224,-141.38,65.55,2346,2346,6.97,hyd. corr. detrended
2004.707650273224,2004.7896174863388,104.37,62.4,2346,2346,5.75,hyd. corr. detrended
2004.7896174863388,2004.8743169398904,-47.91,55.99,2346,2346,13.93,hyd. corr. detrended
2004.8743169398904,2004.9562841530053,70.71,58.8,2346,2346,-28.08,hyd. corr. detrended
2004.9562841530053,2005.041095890411,-27.21,52.57,2346,2346,-17.62,hyd. corr. detrended
2005.041095890411,2005.120547945205,32.74,50.22,2346,2346,14.81,hyd. corr. detrended
2005.120547945205,2005.2054794520548,50.61,50.05,2346,2346,3.06,hyd. corr. detrended
2005.2054794520548,2005.2876712328768,-88.74,47.92,2346,2346,24.45,hyd. corr. detrended
2005.2876712328768,2005.3698630136987,-18.4,43.02,2346,2346,35.23,hyd. corr. detrended
2005.3698630136987,2005.454794520548,-27.95,38.76,2346,2346,7.99,hyd. corr. detrended
2005.454794520548,2005.5369863013696,-5.01,36.55,2346,2346,-35.39,hyd. corr. detrended
2005.5369863013696,2005.6219178082192,-60.12,39.18,2346,2346,-28.89,hyd. corr. detrended
